2026-01-28 20:21:18,968 | INFO | variable_transformation | 📊 BEFORE TRANSFORMATION SHAPES
2026-01-28 20:21:18,970 | INFO | variable_transformation | X_train_numerical: (5634, 23)
2026-01-28 20:21:18,973 | INFO | variable_transformation | X_test_numerical: (1409, 23)
2026-01-28 20:21:18,975 | INFO | variable_transformation | X_train_categorical: (5634, 0)
2026-01-28 20:21:18,976 | INFO | variable_transformation | X_test_categorical: (1409, 0)
2026-01-28 20:21:18,977 | INFO | variable_transformation | Numerical columns: ['gender', 'SeniorCitizen', 'Partner', 'Dependents', 'tenure', 'PhoneService', 'MultipleLines', 'InternetService', 'OnlineSecurity', 'OnlineBackup', 'DeviceProtection', 'TechSupport', 'StreamingTV', 'StreamingMovies', 'Contract', 'PaperlessBilling', 'PaymentMethod', 'MonthlyCharges', 'TotalCharges', 'SIM_Operator', 'Tenure_Quarter', 'Charges_Quartile', 'simtype']
2026-01-28 20:21:18,979 | INFO | variable_transformation | Categorical columns: []
2026-01-28 20:21:21,072 | INFO | variable_transformation | 📈 Transformation skew scores: {'iqr': np.float64(0.9833319120754893), 'log': np.float64(1.0305257674934418), 'exponential': np.float64(1.1083418302731156), 'boxcox': np.float64(0.6254932626167022), 'yeojohnson': np.float64(0.6267629261663962)}
2026-01-28 20:21:21,072 | INFO | variable_transformation | 🏆 Best transformation selected: boxcox
2026-01-28 20:21:21,072 | INFO | variable_transformation | 📊 APPLYING BEST TRANSFORMATION
2026-01-28 20:21:21,072 | INFO | variable_transformation | Transformation used: boxcox
2026-01-28 20:21:21,073 | INFO | variable_transformation | Before transformation X_train shape: (5634, 23)
2026-01-28 20:21:21,073 | INFO | variable_transformation | Before transformation X_test shape: (1409, 23)
2026-01-28 20:21:22,545 | INFO | variable_transformation | After transformation X_train shape: (5634, 23)
2026-01-28 20:21:22,545 | INFO | variable_transformation | After transformation X_test shape: (1409, 23)
2026-01-28 20:21:22,545 | INFO | variable_transformation | 📊 CATEGORICAL FEATURES (NO TRANSFORMATION)
2026-01-28 20:21:22,546 | INFO | variable_transformation | X_train_categorical shape: (5634, 0)
2026-01-28 20:21:22,546 | INFO | variable_transformation | X_test_categorical shape: (1409, 0)
2026-01-28 20:21:22,546 | INFO | variable_transformation | 📊 FINAL DATASET SHAPES
2026-01-28 20:21:22,547 | INFO | variable_transformation | X_train_num: (5634, 23)
2026-01-28 20:21:22,547 | INFO | variable_transformation | X_train_cat: (5634, 0)
2026-01-28 20:21:22,547 | INFO | variable_transformation | X_test_num: (1409, 23)
2026-01-28 20:21:22,548 | INFO | variable_transformation | X_test_cat: (1409, 0)
2026-01-28 20:21:23,027 | INFO | variable_transformation | ✅ Final X_train shape: (5634, 23)
2026-01-28 20:21:23,028 | INFO | variable_transformation | ✅ Final X_test shape: (1409, 23)
2026-01-28 20:21:23,028 | INFO | variable_transformation | Artifacts saved successfully
2026-02-06 15:50:18,692 | INFO | variable_transformation | 📊 BEFORE TRANSFORMATION SHAPES
2026-02-06 15:50:18,693 | INFO | variable_transformation | X_train_numerical: (5634, 23)
2026-02-06 15:50:18,693 | INFO | variable_transformation | X_test_numerical: (1409, 23)
2026-02-06 15:50:18,694 | INFO | variable_transformation | X_train_categorical: (5634, 0)
2026-02-06 15:50:18,694 | INFO | variable_transformation | X_test_categorical: (1409, 0)
2026-02-06 15:50:18,694 | INFO | variable_transformation | Numerical columns: ['gender', 'SeniorCitizen', 'Partner', 'Dependents', 'tenure', 'PhoneService', 'MultipleLines', 'InternetService', 'OnlineSecurity', 'OnlineBackup', 'DeviceProtection', 'TechSupport', 'StreamingTV', 'StreamingMovies', 'Contract', 'PaperlessBilling', 'PaymentMethod', 'MonthlyCharges', 'TotalCharges', 'SIM_Operator', 'Tenure_Quarter', 'Charges_Quartile', 'simtype']
2026-02-06 15:50:18,695 | INFO | variable_transformation | Categorical columns: []
2026-02-06 15:50:20,879 | INFO | variable_transformation | 📈 Transformation skew scores: {'iqr': np.float64(0.9833319120754893), 'log': np.float64(1.0305257674934418), 'exponential': np.float64(1.1083418302731156), 'boxcox': np.float64(0.6254932626167022), 'yeojohnson': np.float64(0.6267629261663962)}
2026-02-06 15:50:20,880 | INFO | variable_transformation | 🏆 Best transformation selected: boxcox
2026-02-06 15:50:20,880 | INFO | variable_transformation | 📊 APPLYING BEST TRANSFORMATION
2026-02-06 15:50:20,880 | INFO | variable_transformation | Transformation used: boxcox
2026-02-06 15:50:20,881 | INFO | variable_transformation | Before transformation X_train shape: (5634, 23)
2026-02-06 15:50:20,881 | INFO | variable_transformation | Before transformation X_test shape: (1409, 23)
2026-02-06 15:50:22,274 | INFO | variable_transformation | After transformation X_train shape: (5634, 23)
2026-02-06 15:50:22,275 | INFO | variable_transformation | After transformation X_test shape: (1409, 23)
2026-02-06 15:50:22,275 | INFO | variable_transformation | 📊 CATEGORICAL FEATURES (NO TRANSFORMATION)
2026-02-06 15:50:22,275 | INFO | variable_transformation | X_train_categorical shape: (5634, 0)
2026-02-06 15:50:22,276 | INFO | variable_transformation | X_test_categorical shape: (1409, 0)
2026-02-06 15:50:22,276 | INFO | variable_transformation | 📊 FINAL DATASET SHAPES
2026-02-06 15:50:22,276 | INFO | variable_transformation | X_train_num: (5634, 23)
2026-02-06 15:50:22,277 | INFO | variable_transformation | X_train_cat: (5634, 0)
2026-02-06 15:50:22,277 | INFO | variable_transformation | X_test_num: (1409, 23)
2026-02-06 15:50:22,277 | INFO | variable_transformation | X_test_cat: (1409, 0)
2026-02-06 15:50:22,679 | INFO | variable_transformation | ✅ Final X_train shape: (5634, 23)
2026-02-06 15:50:22,679 | INFO | variable_transformation | ✅ Final X_test shape: (1409, 23)
2026-02-06 15:50:22,679 | INFO | variable_transformation | Artifacts saved successfully
